Unnamed: 0,authors,title,journal,pmid,year,accession,Organisms,RecordYears,Hosts,Countries,IsolateYears,CDS,SeqLens,AlignLens,PcntIDs
329,"Durmaz R., Ertek M., Kalaycioglu A., Korukluoglu G., Ozkul A., Uyar Y.",Direct Submission,"Molecular Microbiology Research and Application Laboratory, Ankara 06100, Cemal Gursel Caddesi, No. 18 Sihhiye, Refik Saydam National Public Health Agency, Turkey",,2010,"HQ675002.1, HQ675003.1",Orthonairovirus haemorrhagiae (2),27-J (2),Homo sapiens (2),Turkey (2),"2009 (1), 2010 (1)",S protein (2),"522 (1), 523 (1)",174 (2),95%-100% (2)
330,"Durmaz R., Ertek M., Kalaycioglu A., Korukluoglu G., Ozkul A., Sezgin A., Unaldi O., Uyar Y.","Direct Submission, Genetic diversity of Crimean-Congo hemorrhagic fever viruses in Turkey","Molecular Microbiology Research and Application Laboratory, Ankara 06100, Cemal Gursel Caddesi, Molecular Microbiology Research and Application Laboratory, No. 18 Sihhiye, Refik Saydam National Public Health Agency, Sihhiye, Turkey, Unpublished",,"2010, 2011","HQ659777.1, HQ664913.1, HQ675004.1, HQ675005.1, HQ675006.1, HQ675007.1, HQ675008.1, HQ675009.1, HQ675010.1, HQ685840.1, HQ829809.1, HQ829810.1, HQ829811.1, HQ829812.1, HQ829813.1, HQ829814.1, HQ829815.1, HQ829816.1, HQ829817.1, HQ829818.1, HQ829819.1, HQ864321.1, HQ891306.1, HQ891307.1",Orthonairovirus haemorrhagiae (24),"25-J (14), 27-J (10)","Homo sapiens (10), Homo sapiens; sex: male (8), Homo sapiens; male (3), Homo sapiens; sex: female (3)",Turkey (24),"2009 (12), 2010 (12)","S protein (10), nucleoprotein (8), glycoprotein precursor (5), envelope glycoprotein precursor (1)","100-500 (1), 500-1000 (23)",100-500 (24),95%-100% (24)
331,"Aksekili E., Durmaz R., Ertek M., Kalaycioglu A., Korukluoglu G., Ozkul A., Sezgin A., Unaldi O., Uyar Y.","Direct Submission, Genetic diversity of Crimean-Congo hemorrhagic fever viruses in Turkey, Genetic diversity of Crimean-congo hemorrhagic fever viruses in Turkey","Molecular Microbiology Research and Application Laboratory,  Refik Saydam National Public Health Agency, Ankara 06100, Cemal Gursel Caddesi, Cemal Gursel cad. No. 18 Sihhiye, Molecular Microbiology Research and Application Laboratory, No. 18 Sihhiye, Refik Saydam National Public Health Agency, Turkey, Unpublished",,2010,"HQ166287.1, HQ166288.1, HQ173893.1, HQ173894.1, HQ188913.1, HQ188914.1, HQ821873.1, HQ821874.1, HQ821875.1, HQ829809.1, HQ829810.1, HQ829811.1, HQ829812.1, HQ829813.1, HQ829814.1, HQ829815.1, HQ829816.1, HQ829817.1, HQ829818.1, HQ829819.1, HQ864321.1",Orthonairovirus haemorrhagiae (21),"25-J (15), 27-J (6)","Homo sapiens; sex: male (11), Homo sapiens (6), Homo sapiens; sex: female (3), Homo sapiens; male (1)",Turkey (21),"2009 (11), 2010 (10)","nucleoprotein (11), S protein (6), glycoprotein precursor (3), envelope glycoprotein precursor (1)","100-500 (2), 500-1000 (19)",100-500 (21),95%-100% (21)
332,"Durmaz R., Ertek M., Kalaycioglu A., Korukluoglu G., Ozkul A., Unaldi O., Uyar Y.","Direct Submission, Genetic diversity of Crimean-Congo hemorrhagic fever viruses in Turkey","Refik Saydam National Public Health Agency, Ankara 06100, Cemal Gursel cad. No. 18 Sihhiye, Molecular Microbiology Research and Application Laboratory, Refik Saydam National Public Health Agency, Sihhiye, Turkey, Unpublished",,"2010, 2011","HQ829809.1, HQ829810.1, HQ829811.1, HQ829812.1, HQ829813.1, HQ891306.1, HQ891307.1",Orthonairovirus haemorrhagiae (7),25-J (7),"Homo sapiens; sex: male (5), Homo sapiens; male (2)",Turkey (7),"2009 (4), 2010 (3)","nucleoprotein (5), glycoprotein precursor (2)","100-500 (1), 500-1000 (6)","174 (3), 172 (2), 175 (1), 142 (1)",95%-100% (7)
333,"Aksekili E., Durmaz R., Ertek M., Kalaycioglu A., Korukluoglu G., Ozkul A., Sezgin A., Uyar Y.","Direct Submission, Genetic diversity of Crimean-Congo hemorrhagic fever viruses in Turkey","Molecular Microbiology Research and Application Laboratory, Ankara 06100, Cemal Gursel Caddesi, No. 18 Sihhiye, Refik Saydam National Public Health Agency, Turkey, Unpublished",,2010,"HQ166287.1, HQ166288.1, HQ173893.1, HQ173894.1, HQ188913.1, HQ188914.1, HQ659777.1, HQ664913.1, HQ829809.1, HQ829810.1, HQ829811.1, HQ829812.1, HQ829813.1, HQ829814.1, HQ829815.1, HQ829816.1, HQ829817.1, HQ829818.1, HQ829819.1, HQ864321.1",Orthonairovirus haemorrhagiae (20),"25-J (12), 27-J (8)","Homo sapiens; sex: male (8), Homo sapiens (8), Homo sapiens; sex: female (3), Homo sapiens; male (1)",Turkey (20),"2010 (10), 2009 (10)","nucleoprotein (8), S protein (8), glycoprotein precursor (3), envelope glycoprotein precursor (1)","100-500 (1), 500-1000 (19)",100-500 (20),95%-100% (20)
334,"Ari O., Bakir M., Dal T., Durmaz R., Engin A., Erdem E., Kalaycioglu A., Oguzoglu T.","Direct Submission, Investigation of genetic variations of Crimean-Congo Hemorrhagic Fever viruses in Turkey based on whole genome sequences and examination of relationship between posible variations and the course of the disease. This study was funded by the Scientific and Technological Research Council of Turkey (TUBITAK grant number SBAG 118R018)","Faculty of Pharmacy Department of Pharmaceutical Microbiology, Bay, Karadeniz Technical University, Trabzon, Trabzon 61000, Trabzon 61080, Turkey, Unpublished",,2022,"ON209431.1, ON254095.1, ON254096.1, ON254097.1, ON254098.1, ON254099.1, ON254100.1, ON623080.1, ON623081.1, ON623082.1, ON623083.1, ON623084.1, ON623085.1, ON623086.1, ON623087.1, ON623088.1, ON623089.1, ON640906.1, ON640907.1, ON640908.1, ON640909.1, ON640910.1, ON668033.1, ON668034.1, ON668035.1",Orthonairovirus haemorrhagiae (25),"20-F (10), 01-F (6), 21-F (5), 22-F (3), 31-J (1)",Homo sapiens (25),Turkey (25),2021 (25),"glycoprotein precursor (9), RNA-dependent RNA polymerase (9), nucleoprotein (7)","1000-3000 (7), 5000-10000 (18)","1688 (9), 482 (7), 2810 (4), 2809 (4), 2807 (1)","90%-95% (2), 95%-100% (23)"
335,"Ari O., Bakir M., Dal T., Durmaz R., Engin A., Erdem E., Kalaycioglu A., Oguzoglu T.","Direct Submission, Investigation of genetic variations of Crimean-Congo Hemorrhagic Fever viruses in Turkey based on whole genome sequences and examination of relationship between posible variations and the course of the disease. This study was funded by the Scientific and Technological Research Council of Turkey (TUBITAK grant number SBAG 118R018)","Faculty of Pharmacy Department of Pharmaceutical Microbiology, Karadeniz Technical University, Trabzon 61080, Turkey, Unpublished",,2022,"ON191017.1, ON191018.1, ON191019.1, ON640906.1, ON640907.1, ON640908.1, ON640909.1, ON640910.1",Orthonairovirus haemorrhagiae (8),"21-F (5), 13-F (3)",Homo sapiens (8),Turkey (8),"2021 (7), 2011 (1)","RNA-dependent RNA polymerase (5), nucleoprotein (3)","8430 (3), 1673 (3), 8429 (2)","2810 (3), 482 (3), 2809 (2)",95%-100% (8)
336,"Ari O., Bakir M., Dal T., Durmaz R., Engin A., Erdem E., Kalaycioglu A., Oguzoglu T.",Investigation of genetic variations of Crimean-Congo Hemorrhagic Fever viruses in Turkey based on whole genome sequences and examination of relationship between posible variations and the course of the disease. This study was funded by the Scientific and Technological Research Council of Turkey (TUBITAK grant number SBAG 118R018),Unpublished,,,"ON623080.1, ON623081.1, ON623082.1, ON623083.1, ON623084.1, ON623085.1, ON640906.1, ON640907.1, ON640908.1, ON640909.1, ON640910.1, ON668033.1, ON668034.1, ON668035.1",Orthonairovirus haemorrhagiae (14),"20-F (6), 21-F (5), 22-F (3)",Homo sapiens (14),Turkey (14),2021 (14),"glycoprotein precursor (9), RNA-dependent RNA polymerase (5)","5364 (7), 8430 (3), 8429 (2), 5362 (2)","1688 (9), 2810 (3), 2809 (2)","90%-95% (2), 95%-100% (12)"
337,"Ari O., Bakir M., Dal T., Durmaz R., Engin A., Erdem E., Kalaycioglu A., Oguzoglu T.","Direct Submission, Investigation of genetic variations of Crimean-Congo Hemorrhagic Fever viruses in Turkey based on whole genome sequences and examination of relationship between posible variations and the course of the disease. This study was funded by the Scientific and Technological Research Council of Turkey (TUBITAK grant number SBAG 118R018)","Faculty of Pharmacy Department of Pharmaceutical Microbiology, Bay, Karadeniz Technical University, Trabzon, Trabzon 61000, Trabzon 61080, Turkey, University mah., Unpublished",,2022,"ON623081.1, ON623082.1, ON623083.1, ON623084.1, ON623085.1, ON623087.1, ON623088.1, ON623089.1, ON640908.1, ON640909.1, ON640910.1, ON668033.1, ON668034.1, ON668035.1",Orthonairovirus haemorrhagiae (14),"20-F (8), 22-F (3), 21-F (3)",Homo sapiens (14),Turkey (14),2021 (14),"glycoprotein precursor (8), RNA-dependent RNA polymerase (6)","5364 (7), 8430 (4), 5362 (1), 8429 (1), 8422 (1)","1688 (8), 2810 (4), 2809 (1), 2807 (1)","90%-95% (1), 95%-100% (13)"
338,"Ari O., Bakir M., Dal T., Durmaz R., Engin A., Erdem E., Kalaycioglu A., Oguzoglu T.","Direct Submission, Investigation of genetic variations of Crimean-Congo Hemorrhagic Fever viruses in Turkey based on whole genome sequences and examination of relationship between posible variations and the course of the disease. This study was funded by the Scientific and Technological Research Council of Turkey (TUBITAK grant number SBAG 118R018)","Faculty of Pharmacy Department of Pharmaceutical Microbiology, Karadeniz Technical University, Trabzon, Trabzon 61080, Turkey, University mah., Unpublished",,2022,"ON640906.1, ON640907.1, ON640908.1, ON640909.1, ON640910.1",Orthonairovirus haemorrhagiae (5),21-F (5),Homo sapiens (5),Turkey (5),2021 (5),RNA-dependent RNA polymerase (5),"8430 (3), 8429 (2)","2810 (3), 2809 (2)",95%-100% (5)
339,"Ari O., Bakir M., Dal T., Durmaz R., Engin A., Erdem E., Kalaycioglu A., Oguzoglu T.","Direct Submission, Investigation of genetic variations of Crimean-Congo Hemorrhagic Fever viruses in Turkey based on whole genome sequences and examination of relationship between posible variations and the course of the disease. This study was funded by the Scientific and Technological Research Council of Turkey (TUBITAK grant number SBAG 118R018)","Faculty of Pharmacy Department of Pharmaceutical Microbiology, Karadeniz Technical University, Trabzon, Trabzon 61080, Turkey, Unpublished",,2022,"ON142178.1, ON142179.1, ON640906.1, ON640907.1, ON640908.1, ON640909.1, ON640910.1",Orthonairovirus haemorrhagiae (7),"21-F (5), 25-J (2)","Homo sapiens (5), Homo sapiens; sex: male (2)",Turkey (7),2021 (7),"RNA-dependent RNA polymerase (5), nucleocapsid protein (2)","8430 (3), 8429 (2), 1673 (2)","2810 (3), 2809 (2), 482 (2)",95%-100% (7)
340,"Ari O., Bakir M., Durmaz R., Engin A., Kalaycioglu A., Oguzoglu T.","Direct Submission, Investigation of genetic variations of Crimean-Congo Hemorrhagic Fever viruses in Turkey based on whole genome sequences and examination of relationship between posible variations and the course of the disease","Faculty of Pharmacy Department of Pharmaceutical Microbiology, Karadeniz Technical University, Trabzon 61100, Turkey, University mah, Unpublished",,2023,"OQ935541.1, OQ935542.1, OQ935543.1, OQ935544.1, OQ935545.1, OQ935546.1, OQ935547.1",Orthonairovirus haemorrhagiae (7),15-A (7),Homo sapiens (7),Turkey (7),"2021 (5), 2018 (2)",glycoprotein precursor (7),500-1000 (7),100-500 (7),95%-100% (7)
341,"Ari O., Bakir M., Dal T., Durmaz R., Engin A., Kalaycioglu A., Oguzoglu T.","Direct Submission, Investigation of genetic variations of Crimean-Congo Hemorrhagic Fever viruses in Turkey based on whole genome sequences and examination of relationship between posible variations and the course of the disease, Investigation of genetic variations of Crimean-Congo hemorrhagic fever viruses in Turkey based on whole genome sequences and examination of relationship between posible variations and the course of the disease","Faculty of Pharmacy, Faculty of Pharmacy, Faculty of Pharmacy Department of Pharmaceutical Microbiology, Karadeniz Technical University, Trabzon 61100, Turkey, University mah, Unpublished",,2023,"OQ935537.1, OQ935541.1, OQ954475.1",Orthonairovirus haemorrhagiae (3),15-A (3),Homo sapiens (3),Turkey (3),"2021 (2), 2016 (1)","glycoprotein precursor (2), RNA-dependent RNA polymerase (1)","871 (1), 861 (1), 468 (1)","290 (1), 287 (1), 156 (1)",95%-100% (3)
342,"Chang C., Deng F., Guo R., Hu Z., Luo T., Moming A., Shen S., Sun S., Wang C., Yue X., Zhang Y.","China, Direct Submission, Prevalence and Phylogenetic Analysis of Crimean-Congo Hemorrhagic Fever Virus in Ticks from Different Ecosystems in Xinjiang","Xinjiang Key Laboratory of Biological Resources and Genetic Engineering, China, No. 666, Shengli Road, Tianshan District, Urumqi, Virol Sin (2018) In press, Xinjiang 830046, Xinjiang University",29524182.0,"2017, 2018","MG696068.1, MG696069.1, MG696070.1, MG696071.1, MG696072.1, MG696073.1, MG696074.1, MG696075.1, MG696076.1, MG696077.1, MG696078.1, MG696079.1, MG696080.1, MG696081.1, MG696082.1, MG696083.1, MG696084.1, MG696085.1",Orthonairovirus haemorrhagiae (18),21-M (18),"Dermacentor nuttalli (9), Hyalomma asiaticum asiaticum (8), tick (1)",China (18),"2015 (7), 2017 (6), 2016 (4), 2014 (1)",nucleocapsid protein (18),220 (18),"73 (17), 72 (1)","75%-90% (16), 90%-95% (2)"
343,"Lundkvist A., Mirazimi A., Nilsson M., Plyusnin A., Shinikar S.",Direct Submission,"Centre for Microbiological Preparedness, Nobels vag 18, Solna 171 82, Stockholm, Sweden, Swedish Institue for Infectious Disease Control, Swedish Institute for Infectious Disease Control",,2003,"AY366373.1, AY366374.1, AY366375.1, AY366376.1, AY366377.1, AY366378.1, AY366379.1, AY366380.1, AY366381.1, AY366382.1, AY366383.1, AY366384.1, AY366385.1, AY366386.1, AY366387.1",Orthonairovirus haemorrhagiae (15),25-J (15),nan (15),nan (15),nan (15),"glycoprotein (8), nucleoprotein (7)","520 (8), 499 (7)","173 (8), 166 (7)","90%-95% (10), 95%-100% (5)"
344,"Aktas M., Altay K., Aydin K., Koksal I., Ozdarendeli A., Tonbak S.",Direct Submission,"Virology, Elazig 23119, Firat University, Turkey, Veterinary Medicine",,2006,"EF189740.1, EF189741.1, EF189742.1, EF189743.1, EF189744.1, EF189745.1, EF189746.1, EF189747.1, EF189748.1, EF189749.1, EF189750.1, EF189751.1, EF189752.1, EF189753.1",Orthonairovirus haemorrhagiae (14),14-J (14),"Homo sapiens (7), Hyalomma marginatum marginatum (4), Rhipicephalus bursa (2), Boophilus annulatus (1)",Turkey (14),2005 (14),envelope glycoprotein precursor (14),417 (14),138 (14),95%-100% (14)
345,"Carhan A., Dincer E., Ertek M., Ozkaya E., Ozkul A., Uyar Y., Whitehouse C.","Direct Submission, Molecular epidemiology of Crimean-Congo hemorrhagic fever virus in Turkey: Occurrence of local topotype, Molecular epidemiology of Crimean-Congo hemorrhagic fever virus in Turkey: occurrence of local topotype","Department of Virology, 64-70 (2010), Ankara 06110, Ankara University, Faculty of Veterinary Medicine, Irfan Bastug Cad. Diskapi, Turkey, Virus Res. 149 (1)",20079776.0,"2009, 2010","GU320676.1, GU320677.1, GU320678.1, GU320679.1, GU320680.1, GU320681.1, GU320682.1, GU320683.1, GU320684.1, GU320685.1, GU320686.1, GU320687.1, GU320688.1, GU320689.1, GU320690.1, GU320691.1",Orthonairovirus haemorrhagiae (16),25-J (16),Homo sapiens (16),Turkey (16),"2008 (10), 2007 (4), 2006 (2)",glycoprotein precursor (16),417 (16),138 (16),95%-100% (16)
346,"Bino S., Kota M., Papa A., Papadimitriou E., Tomini E.","Genetic diveregence of CCHFV in Albania, Genetic divergence of CCHFV in Albania",Unpublished,,,"KC846093.1, KC846094.1",Orthonairovirus haemorrhagiae (2),26-N (2),Homo sapiens (2),Albania (2),"Jun- (1), May- (1)",nucleoprotein (2),"499 (1), 464 (1)","166 (1), 155 (1)",95%-100% (2)
347,"Christova I., Panayotova E., Papa A., Papadopoulou E., Pappa S.","Molecular epidemiology of Crimean-Congo hemorrhagic fever in Bulgaria - an update, Molecular epidemiology of Crimean-Congo hemorrhagic fever in Bulgaria-An update",J. Med. Virol. (2015) In press,26455333.0,2015,"KR011837.1, KR011838.1, KR011839.1, KR092373.1, KR092374.1, KR092379.1, KR092381.1, KT334329.1, KT334330.1",Orthonairovirus haemorrhagiae (9),"09-N (4), 04-N (3), 20-O (2)","Homo sapiens (7), Hyalomma marginatum (2)",Bulgaria (9),"2013 (4), 2014 (4), 07-J (1)","nucleocapsid protein (7), polymerase (1), glycoprotein precursor (1)","100-500 (5), 1000-3000 (3), 5000-10000 (1)","30-100 (1), 100-500 (7), 1000-3000 (1)",95%-100% (9)
348,"Gutorov V., Kuzina I., Lvov D., Netesov S., Petrov V., Petrova I., Seregin S., Tyunnikov G., Vyshemirski O., Yashina L.","Direct Submission, Partial genetic characterization of different strain of C-CHF virus circulating in the territory of NIS countries","Biochemistry of Viruses, Koltsovo, Novosibirsk 630559, Russia, State Research Center of Virology and Biotechnology 'Vector', State Research Center of Virology and Biotechnology Vector, Unpublished",,2002,"AF481799.1, AF481800.1, AF481801.1, AF481802.1, AF481803.1, AF481805.1, AF481806.1, AF481807.1, AF489586.1, AF489587.1, AF492421.1, AF492422.1, AF492423.1, AF492424.1, AY093620.1, AY093621.1, AY093622.1, AY093623.1, AY093624.1, AY093625.1, AY093626.1, AY093627.1",Orthonairovirus haemorrhagiae (22),"26-J (14), 25-J (6), 22-J (2)","nan (13), tick (6), Homo sapiens (3)","Russia: Astrahan region (5), Russia: Volgograd Region (4), Russia: Volgograd region (3), Russia: Uzbekistan (2), Russia: Tadjikistan (2), Russia: Stavropol region (2), Russia: Rostov Region (1), Russia: Stavropole Region (1), Russia (1), Russia: Stavropol (1)",nan (22),"envelope glycoprotein (8), envelope glycoprotein precusor (8), nucleocapsid protein (6)","100-500 (20), 1000-3000 (2)","30-100 (5), 100-500 (17)","50%-75% (1), 75%-90% (7), 90%-95% (1), 95%-100% (13)"
349,"Gutorov V., Lvov D., Netesov S., Petrov V., Petrova I., Seregin S., Tyunnikov G., Vyshemirski O., Yashina L.","Partial Genetic Characterization of different strains of C-CHF virus circulating in territory of NIS countries, Partial genetic characterization of different strains of C-CHF virus circulating in territory of NIS countries",Unpublished,,,"AF481806.1, AF481807.1, AF492421.1, AF492422.1, AF492423.1, AF492424.1",Orthonairovirus haemorrhagiae (6),"25-J (4), 26-J (2)","nan (4), tick (1), Homo sapiens (1)","Russia: Volgograd region (3), Russia: Stavropol region (2), Russia: Astrahan region (1)",nan (6),envelope glycoprotein precusor (6),"308 (3), 436 (2), 496 (1)","100 (3), 145 (2), 158 (1)",75%-90% (6)
350,"Gutorov V., Kuzina I., Lvov D., Netesov S., Petrov V., Petrova I., Seregin S., Tyunnikov G., Vyshemirski O., Yashina L.","Crimean-Congo hemorrhagic fever virus S segment, Direct Submission","Biochemistry of Viruses, Koltsovo, Novosibirsk 630559, Russia, State Research Center of Virology and Biotechnology 'Vector', Vopr. Virusol. (2002) In press",,2002,"AF481799.1, AF481800.1, AF481801.1, AF481802.1, AF481803.1, AF481804.1, AF481805.1",Orthonairovirus haemorrhagiae (7),"26-J (5), 22-J (2)","tick (5), Homo sapiens (2)","Russia: Astrahan region (4), Russia: Tadjikistan (1), Russia: Stavropol (1), Russia: Uzbekistan (1)",nan (7),nucleocapsid protein (7),"220 (3), 467 (2), 1674 (1), 1672 (1)","73 (3), 156 (2), 482 (2)","90%-95% (1), 95%-100% (6)"
351,"Aristova V., Gutorov V., Kuhn J., Kuzina I., Lvov D., Netesov S., Petrov V., Petrova I., Seregin S., Tyunnikov G., Vyshemirski O., Vyshemirsky O., Yashina L.","Direct Submission, Partial Genetic Characterization of different strain of C-CHF virus circulating in the territory of NIS countries","Biochemistry of Viruses, Biochemistry of Viruses, Koltsovo, Novosibirsk 630559, Russia, State Research Center of Virology and Biotechnology 'Vector', Unpublished",,"2001, 2002","AF401647.1, AF401648.1, AF401649.1, AF401650.1, AF401651.1, AF481799.1, AF481800.1, AF481801.1, AF481802.1, AF481803.1, AF481805.1, AF483271.1, AF483272.1, AF483273.1, AF483274.1",Orthonairovirus haemorrhagiae (15),"23-J (5), 26-J (4), 25-J (4), 22-J (2)","nan (9), tick (4), Homo sapiens (2)","Russia (4), Russia: Rostov region (3), Russia: Astrahan region (3), Russia: Volgograd region (1), Russia: Stavropol region (1), Russia: Tadjikistan (1), Russia: Stavropol (1), Russia: Uzbekistan (1)",nan (15),"nucleocapsid protein (6), envelope glycoprotein (5), envelope glycoprotein precursor (4)","100-500 (13), 1000-3000 (2)","107 (5), 144 (4), 73 (2), 156 (2), 482 (2)","90%-95% (2), 95%-100% (13)"
352,"De la fuente G., De la fuente J., Fernandez de mera I., Gortazar C., Rodriguez O., Vaz-rodrigues R.","Direct Submission, The Saharan antelope addax (Addax nasomaculatus) as a host for Hyalomma marginatum, tick vector of Crimean-Congo hemorrhagic fever virus","SaBio (Health and Biotechnology), 102034 (2022), 12, Ciudad Real, Ciudad Real 13071, Instituto de Investigacion en Recursos Cinegeticos IREC (CSIC, JCCM), Ronda de Toledo, Spain, Ticks Tick Borne Dis 13 (6), UCLM",36041296.0,2022,"ON557389.1, ON646078.1, ON646079.1, ON664915.1, ON664916.1","Hyalomma marginatum (4), Orthonairovirus haemorrhagiae (1)","02-S (4), 21-S (1)","Addax nasomaculatus (4), Hyalomma marginatum (1)",Morocco (5),"nan (4), 2014 (1)","nan (2), cytochrome c oxidase subunit I (2), nucleocapsid protein (1)","394 (1), 395 (1), 386 (1), 599 (1), 631 (1)","0 (2), 25 (2), 131 (1)","25%-50% (2), 75%-90% (1)"
353,"Chinikar S., Jalali T., Khakifirouz S., Shahhosseini N.","Direct Submission, Genetic diversity of Crimean-Congo hemorrhagic fever virus strains from Iran","Pasteur Institute of Iran, Iran, Pasteur Institute of Iran, Tehran, Unpublished",,"2014, 2015","KP075636.1, KP075637.1, KP075638.1, KP075639.1, KP075640.1, KP075641.1, KP075642.1, KP075643.1, KP075657.1, KP075659.1, KP075663.1, KP075664.1, KP075668.1, KP075669.1, KP075670.1, KP075671.1, KP075672.1, KP075675.1, KP075676.1, KP075677.1, KP075678.1, KP075679.1, KR136174.1, KR136175.1, KR136176.1, KR136177.1, KR136178.1, KR136181.1, KR136184.1, KR136186.1, KR136187.1, KR136190.1, KR136192.1, KR136194.1, KR136197.1, KR136200.1, KR136201.1, KR136202.1",Orthonairovirus haemorrhagiae (38),"31-O (22), 04-O (16)","Homo sapiens (22), Rhipicephalus sanguineus (7), Hyalomma anatolicum (5), Hyalomma asiaticum (3), Hyalomma marginatum (1)",Iran (38),"2012 (26), 2010 (4), 2011 (3), 2013 (2), 2009 (1), 2003 (1), 2008 (1)","nucleocapsid (17), capsid protein (16), glycoprotein (5)","100-500 (25), 500-1000 (13)",100-500 (38),"90%-95% (26), 95%-100% (12)"
354,"Chinikar S., Jalali T., Khakifirouz S., Shahhosseini N.","Direct Submission, Genetic diversity of Crimean-Congo hemorrhagic fever virus strains from Iran","Pasteur Institute of Iran, Bernhard Nocht Institute for Tropical Medicine, Germany, Hamburg, Iran, Pasteur Institute of Iran, Tehran, Unpublished",,"2014, 2015","KP075636.1, KP075637.1, KP075638.1, KP075639.1, KP075640.1, KP075641.1, KP075642.1, KP075643.1, KP075647.1, KP075648.1, KP075650.1, KP075651.1, KP075652.1, KP075654.1, KP075655.1, KP075656.1, KP075657.1, KP075659.1, KP075663.1, KP075664.1, KP075665.1, KP075666.1, KP075667.1, KP075668.1, KP075669.1, KP075670.1, KP075671.1, KP075672.1, KP075673.1, KP075674.1, KP075675.1, KP075676.1, KP075677.1, KP075678.1, KP075679.1, KP075680.1, KP075681.1, KP075682.1, KP075683.1, KR136174.1, KR136175.1, KR136177.1, KR136186.1, KR136187.1, KR136190.1, KR136202.1",Orthonairovirus haemorrhagiae (46),"31-O (39), 04-O (7)","Homo sapiens (39), Rhipicephalus sanguineus (4), Hyalomma anatolicum (3)",Iran (46),"2012 (23), 2011 (6), 2010 (4), 2013 (3), 2006 (2), 2003 (2), 2008 (2), 2009 (1), 2004 (1), 2007 (1), 2005 (1)","nucleocapsid (34), capsid protein (7), glycoprotein (5)","100-500 (39), 500-1000 (7)",100-500 (46),"90%-95% (38), 95%-100% (8)"
355,"Ajati A., Dai X., Feng C., Hang C., Ma J., Meng W., Sun S., Wang X., Xie Y., Zhang F., Zhang Y., Zhu H.",Direct Submission,"Xinjiang Center for Disease Control and Prevention, China, College of Life Science and Technology, Urumqi, Xinjiang 830002, Xinjiang University",,2005,"DQ227495.1, DQ227496.1",Orthonairovirus haemorrhagiae (2),26-O (2),tick (2),China (2),nan (2),nucleocapsid protein (2),1673 (2),482 (2),95%-100% (2)
356,"Gao D., Han L., Tang Q., Tao X., Zhao X.","CCHF genetic variety research, Direct Submission","Institute of Epidemiology and Microbiology, Beijing 102206, China, Chinese Academy of Preventive Medicine (CAPM), P.O. Box 5 Changping, Unpublished",,2001,"AF354296.1, AF358784.1, AF362080.1, AY029157.1",Crimean-Congo Hemorrhagic Fever virus strain China (4),"31-A (3), 13-S (1)",nan (4),"nan (2), China (1), China: XinJiang (1)",nan (4),nucleoprotein (4),"1673 (2), 1672 (2)",482 (4),95%-100% (4)
357,"Gao D., Han L., Tang Q., Tao X., Zhao X.","Direct Submission, Genetic variety of Crimean-Congo Hemorrhagic Fever virus","Institute of Epidemiology and Microbiology, Beijing 102206, Chinese Academy of Preventive Medicine, Chinese Academy of Preventive Medicine (CAPM), Institute of Epidemiology and Microbiology, P. O. Box 5 Changping, P. R. China, P.O. Box 5 Changping, P.R. China, Second Division of Viral Hemorrhagic Fever, Unpublished",,2001,"AF354296.1, AF415236.1","Orthonairovirus haemorrhagiae (1), Crimean-Congo Hemorrhagic Fever virus strain China (1)","27-S (1), 31-A (1)",nan (2),"China (1), China: XinJiang (1)",nan (2),nucleoprotein (2),1672 (2),482 (2),95%-100% (2)
358,"Agafonov A., Gladysheva A., Kotenev E., Loktev V., Sementsova A., Ternovoi V., Volynkina A., Zaykovskaya A.","Direct Submission, Novel segmented RNA Jingmenvirus group isolated from human","Department of Molecular Virology, Koltsovo, Russia, Russia 630559, State Research Center of Virology and Biotehnology 'Vector', Unpublished",,2019,"MN218693.1, MN218694.1, MN218695.1, MN218696.1",Orthonairovirus haemorrhagiae (4),16-M (4),Homo sapiens (4),Russia (4),2016 (4),nucleocapsid protein (4),191 (4),63 (4),"75%-90% (1), 90%-95% (1), 95%-100% (2)"
359,"Aydin H., Timurkan M.","Direct Submission, Molecular characterization of S and M segments of Crimean Congo Hemorrhagic Fever Virus in Turkey","Department of Virology,  Departmet of Virology, Ataturk University, Erzurum 25240, Faculty of Veterinary Medicine, Turkey, Unpublished",,2020,"MT178278.1, MT178279.1, MT178280.1, MT178281.1, MT178282.1, MT178283.1, MT178284.1, MT178285.1, MT178286.1, MT178287.1, MT178288.1, MT178289.1, MT178290.1, MT178291.1, MT178292.1, MT178293.1, MT178294.1, MT178295.1, MT178296.1, MT178297.1, MT178298.1, MT178299.1, MT178300.1, MT178301.1, MT178302.1, MT178303.1, MT178304.1, MT178305.1, MT178306.1, MT178307.1, MT178308.1, MT178309.1, MT178310.1, MT178311.1, MT178312.1, MT178313.1, MT178314.1, MT178315.1, MT178316.1, MT178317.1, MT178318.1, MT178319.1, MT178320.1, MT178321.1, MT178322.1, MT178323.1, MT178324.1, MT178325.1, MT178326.1, MT178327.1",Orthonairovirus haemorrhagiae (50),28-M (50),Homo sapiens (50),Turkey (50),"2015 (25), 2012 (25)","glycoprotein precursor (25), nucleoprotein (25)","422 (25), 333 (25)","140 (25), 111 (21), 110 (4)","75%-90% (1), 90%-95% (12), 95%-100% (37)"
